"CRUK0678_SU_T1.R1","CRUK0678_SU_T1.R2","CRUK0678_SU_T1.R3"
"clonal","clonal","clonal"
"absent","clonal","absent"
"subclonal","absent","absent"
"absent","absent","subclonal"
"absent","absent","subclonal"
"absent","subclonal","absent"
"absent","clonal","subclonal"
"subclonal","absent","subclonal"
"clonal","absent","subclonal"
"subclonal","absent","absent"
"subclonal","absent","absent"
"subclonal","absent","absent"
"absent","clonal","subclonal"
"absent","absent","subclonal"
"absent","subclonal","absent"
