"CRUK0472_SU_T1.R1","CRUK0472_SU_T1.R2","CRUK0472_SU_T1.R3"
"clonal","clonal","clonal"
"subclonal","absent","absent"
"absent","subclonal","absent"
"subclonal","absent","absent"
"absent","absent","subclonal"
"absent","subclonal","clonal"
"subclonal","clonal","clonal"
"absent","subclonal","absent"
"absent","absent","subclonal"
"absent","subclonal","absent"
"subclonal","clonal","clonal"
"subclonal","absent","absent"
"clonal","absent","absent"
"absent","subclonal","absent"
"clonal","clonal","absent"
"clonal","subclonal","clonal"
