"CRUK0709_SU_T1.R1","CRUK0709_SU_T1.R2","CRUK0709_SU_T1.R3"
"clonal","clonal","clonal"
"subclonal","subclonal","clonal"
"absent","subclonal","absent"
"absent","absent","subclonal"
"clonal","clonal","subclonal"
"absent","absent","subclonal"
"clonal","clonal","absent"
"absent","subclonal","absent"
"clonal","clonal","subclonal"
"subclonal","absent","absent"
"subclonal","absent","absent"
"subclonal","subclonal","absent"
"absent","subclonal","clonal"
"subclonal","subclonal","subclonal"
"subclonal","subclonal","subclonal"
"absent","subclonal","absent"
"absent","absent","subclonal"
"absent","absent","clonal"
"subclonal","absent","absent"
"clonal","absent","absent"
