"CRUK0460_SU_T1.R1","CRUK0460_SU_T1.R2","CRUK0460_SU_T1.R3"
"clonal","clonal","clonal"
"clonal","clonal","absent"
"subclonal","absent","absent"
"absent","subclonal","absent"
"absent","absent","clonal"
"subclonal","absent","absent"
"absent","absent","subclonal"
"absent","subclonal","absent"
"subclonal","subclonal","absent"
"absent","subclonal","absent"
"absent","absent","subclonal"
"absent","absent","subclonal"
"subclonal","subclonal","absent"
"absent","absent","subclonal"
"subclonal","subclonal","absent"
"subclonal","subclonal","absent"
"subclonal","clonal","absent"
"clonal","subclonal","clonal"
