"CRUK0034_SU_T1.R1","CRUK0034_SU_T1.R2","CRUK0034_SU_T1.R3"
"clonal","clonal","clonal"
"clonal","absent","clonal"
"absent","subclonal","absent"
"clonal","subclonal","clonal"
"absent","absent","subclonal"
"absent","clonal","absent"
"absent","subclonal","absent"
"absent","subclonal","absent"
"clonal","absent","subclonal"
"absent","clonal","subclonal"
"absent","absent","subclonal"
"absent","subclonal","absent"
"clonal","absent","absent"
"subclonal","absent","absent"
"absent","absent","subclonal"
"absent","absent","clonal"
