"CRUK0416_SU_T1.R1","CRUK0416_SU_T1.R2","CRUK0416_SU_T1.R4"
"absent","subclonal","absent"
"subclonal","absent","absent"
"clonal","clonal","clonal"
"absent","subclonal","absent"
"subclonal","subclonal","absent"
"clonal","clonal","absent"
"absent","absent","subclonal"
"absent","subclonal","absent"
"absent","clonal","subclonal"
"subclonal","subclonal","absent"
"clonal","clonal","subclonal"
"absent","subclonal","absent"
"subclonal","subclonal","absent"
"absent","subclonal","subclonal"
"absent","clonal","subclonal"
"absent","absent","subclonal"
"subclonal","clonal","subclonal"
"subclonal","absent","absent"
"absent","absent","subclonal"
"subclonal","absent","absent"
"absent","absent","subclonal"
"absent","absent","subclonal"
