"CRUK0276_SU_T1.R1","CRUK0276_SU_T1.R2","CRUK0276_SU_T1.R3"
"clonal","clonal","clonal"
"clonal","absent","absent"
"absent","clonal","clonal"
"absent","subclonal","clonal"
"absent","subclonal","absent"
"subclonal","absent","absent"
"clonal","subclonal","absent"
"subclonal","absent","absent"
"subclonal","absent","absent"
"absent","subclonal","clonal"
"absent","absent","clonal"
"absent","subclonal","absent"
"subclonal","absent","absent"
"absent","subclonal","absent"
"clonal","subclonal","clonal"
"subclonal","absent","absent"
"absent","absent","subclonal"
