"CRUK0597_SU_T1.R1","CRUK0597_SU_T1.R2","CRUK0597_SU_T1.R3"
"clonal","clonal","clonal"
"subclonal","absent","absent"
"absent","absent","subclonal"
"absent","absent","subclonal"
"absent","clonal","absent"
"absent","subclonal","absent"
"absent","absent","subclonal"
"clonal","absent","absent"
"subclonal","absent","clonal"
"clonal","absent","subclonal"
"absent","clonal","subclonal"
"absent","absent","subclonal"
"absent","subclonal","absent"
"absent","subclonal","absent"
"absent","subclonal","absent"
"clonal","subclonal","absent"
"absent","subclonal","absent"
"subclonal","absent","absent"
